frn,firm_name,obs_date,y,ch_number,status,status_date,n_permissions,client_money,business_type
509016,The Informed Partnership Limited,2021-01-01,0,07008093,Authorised,11/11/2009,12,Not hold and not control client money,Regulated
509016,The Informed Partnership Limited,2022-01-01,0,07008093,Authorised,11/11/2009,12,Not hold and not control client money,Regulated
509016,The Informed Partnership Limited,2023-01-01,0,07008093,Authorised,11/11/2009,12,Not hold and not control client money,Regulated
509016,The Informed Partnership Limited,2024-01-01,0,07008093,Authorised,11/11/2009,12,Not hold and not control client money,Regulated
509017,OLOMPIC (O.I.M.T.) LIMITED,2016-01-01,0,05428155,See full details,12/10/2012,0,,PSD
509017,OLOMPIC (O.I.M.T.) LIMITED,2017-01-01,0,05428155,See full details,12/10/2012,0,,PSD
509017,OLOMPIC (O.I.M.T.) LIMITED,2018-01-01,0,05428155,See full details,12/10/2012,0,,PSD
509017,OLOMPIC (O.I.M.T.) LIMITED,2019-01-01,0,05428155,See full details,12/10/2012,0,,PSD
509017,OLOMPIC (O.I.M.T.) LIMITED,2020-01-01,0,05428155,See full details,12/10/2012,0,,PSD
509017,OLOMPIC (O.I.M.T.) LIMITED,2021-01-01,0,05428155,See full details,12/10/2012,0,,PSD
509017,OLOMPIC (O.I.M.T.) LIMITED,2022-01-01,0,05428155,See full details,12/10/2012,0,,PSD
509017,OLOMPIC (O.I.M.T.) LIMITED,2023-01-01,0,05428155,See full details,12/10/2012,0,,PSD
509017,OLOMPIC (O.I.M.T.) LIMITED,2024-01-01,0,05428155,See full details,12/10/2012,0,,PSD
509018,Advance Business Com (Europe) Ltd,2016-01-01,0,06525302,See full details,01/11/2009,0,,PSD
509018,Advance Business Com (Europe) Ltd,2017-01-01,0,06525302,See full details,01/11/2009,0,,PSD
509018,Advance Business Com (Europe) Ltd,2018-01-01,0,06525302,See full details,01/11/2009,0,,PSD
509018,Advance Business Com (Europe) Ltd,2019-01-01,0,06525302,See full details,01/11/2009,0,,PSD
509018,Advance Business Com (Europe) Ltd,2020-01-01,0,06525302,See full details,01/11/2009,0,,PSD
509018,Advance Business Com (Europe) Ltd,2021-01-01,0,06525302,See full details,01/11/2009,0,,PSD
509018,Advance Business Com (Europe) Ltd,2022-01-01,0,06525302,See full details,01/11/2009,0,,PSD
509018,Advance Business Com (Europe) Ltd,2023-01-01,0,06525302,See full details,01/11/2009,0,,PSD
509018,Advance Business Com (Europe) Ltd,2024-01-01,0,06525302,See full details,01/11/2009,0,,PSD
509020,Mitchell Charlesworth Insurance Solutions Limited,2016-01-01,0,07002662,No longer authorised,10/03/2024,0,,Regulated
509020,Mitchell Charlesworth Insurance Solutions Limited,2017-01-01,0,07002662,No longer authorised,10/03/2024,0,,Regulated
509020,Mitchell Charlesworth Insurance Solutions Limited,2018-01-01,0,07002662,No longer authorised,10/03/2024,0,,Regulated
509020,Mitchell Charlesworth Insurance Solutions Limited,2019-01-01,0,07002662,No longer authorised,10/03/2024,0,,Regulated
509020,Mitchell Charlesworth Insurance Solutions Limited,2020-01-01,0,07002662,No longer authorised,10/03/2024,0,,Regulated
509020,Mitchell Charlesworth Insurance Solutions Limited,2021-01-01,0,07002662,No longer authorised,10/03/2024,0,,Regulated
509020,Mitchell Charlesworth Insurance Solutions Limited,2022-01-01,0,07002662,No longer authorised,10/03/2024,0,,Regulated
509020,Mitchell Charlesworth Insurance Solutions Limited,2023-01-01,0,07002662,No longer authorised,10/03/2024,0,,Regulated
509020,Mitchell Charlesworth Insurance Solutions Limited,2024-01-01,0,07002662,No longer authorised,10/03/2024,0,,Regulated
509455,3 Old Brothers Limited,2016-01-01,0,SC352786,See full details,01/11/2009,0,,PSD
509455,3 Old Brothers Limited,2017-01-01,0,SC352786,See full details,01/11/2009,0,,PSD
509455,3 Old Brothers Limited,2018-01-01,0,SC352786,See full details,01/11/2009,0,,PSD
509455,3 Old Brothers Limited,2019-01-01,0,SC352786,See full details,01/11/2009,0,,PSD
509455,3 Old Brothers Limited,2020-01-01,0,SC352786,See full details,01/11/2009,0,,PSD
509455,3 Old Brothers Limited,2021-01-01,0,SC352786,See full details,01/11/2009,0,,PSD
509455,3 Old Brothers Limited,2022-01-01,0,SC352786,See full details,01/11/2009,0,,PSD
509455,3 Old Brothers Limited,2023-01-01,0,SC352786,See full details,01/11/2009,0,,PSD
509455,3 Old Brothers Limited,2024-01-01,0,SC352786,See full details,01/11/2009,0,,PSD
509458,Approve Services Limited,2016-01-01,0,06908056,See full details,12/07/2012,0,,PSD
509458,Approve Services Limited,2017-01-01,0,06908056,See full details,12/07/2012,0,,PSD
509458,Approve Services Limited,2018-01-01,0,06908056,See full details,12/07/2012,0,,PSD
509458,Approve Services Limited,2019-01-01,0,06908056,See full details,12/07/2012,0,,PSD
509458,Approve Services Limited,2020-01-01,0,06908056,See full details,12/07/2012,0,,PSD
509458,Approve Services Limited,2021-01-01,0,06908056,See full details,12/07/2012,0,,PSD
509458,Approve Services Limited,2022-01-01,0,06908056,See full details,12/07/2012,0,,PSD
509458,Approve Services Limited,2023-01-01,0,06908056,See full details,12/07/2012,0,,PSD
509458,Approve Services Limited,2024-01-01,0,06908056,See full details,12/07/2012,0,,PSD
509470,Noble Exchange Int Ltd,2016-01-01,0,06913083,See full details,01/11/2009,0,,PSD
509470,Noble Exchange Int Ltd,2017-01-01,0,06913083,See full details,01/11/2009,0,,PSD
509470,Noble Exchange Int Ltd,2018-01-01,0,06913083,See full details,01/11/2009,0,,PSD
509470,Noble Exchange Int Ltd,2019-01-01,0,06913083,See full details,01/11/2009,0,,PSD
509470,Noble Exchange Int Ltd,2020-01-01,0,06913083,See full details,01/11/2009,0,,PSD
509470,Noble Exchange Int Ltd,2021-01-01,0,06913083,See full details,01/11/2009,0,,PSD
509470,Noble Exchange Int Ltd,2022-01-01,0,06913083,See full details,01/11/2009,0,,PSD
509470,Noble Exchange Int Ltd,2023-01-01,0,06913083,See full details,01/11/2009,0,,PSD
509470,Noble Exchange Int Ltd,2024-01-01,0,06913083,See full details,01/11/2009,0,,PSD
509492,MNK INTERNATIONAL LTD,2016-01-01,0,06953798,Authorised,01/04/2010,7,Hold and control client money,Regulated
509492,MNK INTERNATIONAL LTD,2017-01-01,0,06953798,Authorised,01/04/2010,7,Hold and control client money,Regulated
509492,MNK INTERNATIONAL LTD,2018-01-01,0,06953798,Authorised,01/04/2010,7,Hold and control client money,Regulated
509492,MNK INTERNATIONAL LTD,2019-01-01,0,06953798,Authorised,01/04/2010,7,Hold and control client money,Regulated
509492,MNK INTERNATIONAL LTD,2020-01-01,0,06953798,Authorised,01/04/2010,7,Hold and control client money,Regulated
509492,MNK INTERNATIONAL LTD,2021-01-01,0,06953798,Authorised,01/04/2010,7,Hold and control client money,Regulated
509492,MNK INTERNATIONAL LTD,2022-01-01,0,06953798,Authorised,01/04/2010,7,Hold and control client money,Regulated
509492,MNK INTERNATIONAL LTD,2023-01-01,0,06953798,Authorised,01/04/2010,7,Hold and control client money,Regulated
509492,MNK INTERNATIONAL LTD,2024-01-01,0,06953798,Authorised,01/04/2010,7,Hold and control client money,Regulated
509536,Asian Connect Consultant Limited,2016-01-01,0,06995895,See full details,01/11/2009,0,,PSD
509536,Asian Connect Consultant Limited,2017-01-01,0,06995895,See full details,01/11/2009,0,,PSD
509536,Asian Connect Consultant Limited,2018-01-01,0,06995895,See full details,01/11/2009,0,,PSD
509536,Asian Connect Consultant Limited,2019-01-01,0,06995895,See full details,01/11/2009,0,,PSD
509536,Asian Connect Consultant Limited,2020-01-01,0,06995895,See full details,01/11/2009,0,,PSD
509536,Asian Connect Consultant Limited,2021-01-01,0,06995895,See full details,01/11/2009,0,,PSD
509536,Asian Connect Consultant Limited,2022-01-01,0,06995895,See full details,01/11/2009,0,,PSD
509536,Asian Connect Consultant Limited,2023-01-01,0,06995895,See full details,01/11/2009,0,,PSD
509536,Asian Connect Consultant Limited,2024-01-01,0,06995895,See full details,01/11/2009,0,,PSD
509547,Calico Asset Management Limited,2016-01-01,0,07028142,No longer authorised,17/11/2023,0,,Regulated
509547,Calico Asset Management Limited,2017-01-01,0,07028142,No longer authorised,17/11/2023,0,,Regulated
509547,Calico Asset Management Limited,2018-01-01,0,07028142,No longer authorised,17/11/2023,0,,Regulated
509547,Calico Asset Management Limited,2019-01-01,0,07028142,No longer authorised,17/11/2023,0,,Regulated
509547,Calico Asset Management Limited,2020-01-01,0,07028142,No longer authorised,17/11/2023,0,,Regulated
